path,line,source,field,voltage_v
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter004.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter005.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter006.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter007.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter008.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer05_iter009.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer06_iter000.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer06_iter001.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer06_iter002.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer06_iter003.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer06_iter004.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer06_iter005.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter000.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter001.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter002.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter003.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter004.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter005.csv,76,csv,voltage,4.311
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer07_iter006.csv,76,csv,voltage,4.311
