mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,iteration
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,366,366,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,366,366,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,374,374,0
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,374,374,0
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,374,374,0
4,48,3.848,7.554994386577733,,6.79949494791996,8.310493825235506,374,374,0
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,374,374,0
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,374,374,0
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,374,374,0
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,374,374,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,375,375,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,375,375,3
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,375,375,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,375,375,3
5,44,3.723,7.197464088254703,,6.477717679429233,7.917210497080173,375,375,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,375,375,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,375,375,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,375,375,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,383,383,9
2,45,4.044,7.939882806986377,,7.145894526287739,8.733871087685015,383,383,9
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,383,383,9
